Id,Bedrooms,Bathrooms,Sqft,Condition,Zip Code,Latitude,Longitude,Pricing,Area,Features,Rent 
351,3,3,1844,Good,390007,22.29857,73.14431,12000,Vasna,"reserved Parking,Park,Lift",12000
352,3,3,1836,Good,390007,22.29857,73.14431,12000,Vasna,"reserved Parking,Park,Lift",12000
353,3,3,1700,Very Good,390023,22.31806,73.17823,18000,Alkapuri,"Reserved Parking,Security,Park",18000
354,3,3,1370,Good,390007,22.29857,73.14431,23000,Vasna,Reserved Parking,23000
355,3,3,1850,Good,390023,22.31806,73.17823,22000,Alkapuri,"Reserved Parking,Security,Park",22000
356,2,2,1200,Good,390020,22.29399,73.17611,10000,Akota,"reserved Parking,Park,Lift",10000
357,3,3,2300,Good,390007,22.29857,73.14431,13000,Vasna,"Reserved Parking,Security,Park",13000
358,3,3,2200,Good,390020,22.29399,73.17611,25000,Akota,"reserved Parking,Park,Lift",25000
359,3,3,2000,Good,390020,22.29399,73.17611,23000,Akota,"Reserved Parking,Security,Park",23000
360,3,4,2500,Very Good,390007,22.29857,73.14431,22000,Vasna,"Security,Garden",22000
361,3,3,1750,Good,390007,22.29857,73.14431,16000,Vasna,"Security,Garden",16000
362,3,3,2000,Good,390007,22.29857,73.14431,17000,Vasna,"reserved Parking,Park,Lift",17000
363,3,3,2000,Good,390007,22.29857,73.14431,16000,Vasna,"Security,Garden",16000
364,3,3,1850,Very Good,390007,22.29857,73.14431,15000,Vasna,"Reserved Parking,Security,Park",15000
365,3,3,2000,Good,390007,22.29857,73.14431,18000,Vasna,"reserved Parking,Park,Lift",18000
366,3,3,1650,Good,390012,22.30212,73.17474,16000,Old Padra ,Reserved Parking,16000
367,3,3,1700,Good,390020,22.29399,73.17611,25000,Akota,"Reserved Parking,Security,Park",25000
368,2,3,1500,Very Good,390023,22.31806,73.17823,16000,Alkapuri,"reserved Parking,Park,Lift",16000
369,4,5,3200,Good,390007,22.29857,73.14431,40000,Vasna,"Reserved Parking,Security,Park",40000
370,3,3,2000,Good,390023,22.31806,73.17823,30000,Alkapuri,"reserved Parking,Park,Lift",30000
371,3,3,1844,Good,390007,22.29857,73.14431,12000,Vasna,"reserved Parking,Park,Lift",12000
372,3,3,1836,Good,390007,22.29857,73.14431,12000,Vasna,"reserved Parking,Park,Lift",12000
373,3,3,1700,Good,390023,22.31806,73.17823,18000,Alkapuri,Reserved Parking,18000
374,3,3,1370,Good,390007,22.29857,73.14431,23000,Vasna,"Reserved Parking,Security,Park",23000
375,3,3,2300,Good,390007,22.29857,73.14431,13000,Vasna,"reserved Parking,Park,Lift",13000
376,3,3,2200,Good,390020,22.29399,73.17611,25000,Akota,Reserved Parking,25000
377,3,3,2000,Good,390020,22.29399,73.17611,23000,Akota,"Security,Garden",23000
378,3,4,2500,Very Good,390007,22.29857,73.14431,22000,Vasna,"Reserved Parking,Security,Park",22000
379,3,3,1750,Good,390007,22.29857,73.14431,16000,Vasna,Reserved Parking,16000
380,3,3,2000,Good,390007,22.29857,73.14431,17000,Vasna,"Security,Garden",17000
381,3,3,2000,Very Good,390007,22.29857,73.14431,16000,Vasna,"Reserved Parking,Security,Park",16000
382,3,3,1850,Good,390007,22.29857,73.14431,15000,Vasna,Reserved Parking,15000
383,3,3,2000,Good,390007,22.29857,73.14431,18000,Vasna,"Security,Garden",18000
384,3,3,1650,Very Good,390012,22.30212,73.17474,16000,Old Padra ,"Reserved Parking,Security,Park",16000
385,3,3,1700,Good,390020,22.29399,73.17611,25000,Akota,"Security,Garden",25000
386,2,3,1500,Good,390023,22.31806,73.17823,16000,Alkapuri,Reserved Parking,16000
387,3,3,1844,Good,390007,22.29857,73.14431,12000,Vasna,"Security,Garden",12000
388,3,3,1836,Very Good,390007,22.29857,73.14431,12000,Vasna,"Reserved Parking,Security,Park",12000
389,3,3,1370,Good,390007,22.29857,73.14431,23000,Vasna,Reserved Parking,23000
390,3,3,1850,Good,390020,22.29399,73.17611,22000,Akota,"Security,Garden",22000
391,2,2,1200,Very Good,390020,22.29399,73.17611,10000,Akota,"Reserved Parking,Security,Park",10000
392,3,3,2300,Good,390007,22.29857,73.14431,13000,Vasna,"Security,Garden",13000
393,3,3,2200,Good,390020,22.29399,73.17611,25000,Akota,Reserved Parking,25000
394,3,3,1750,Very Good,390007,22.29857,73.14431,16000,Vasna,"Security,Garden",16000
395,3,3,2000,Good,390007,22.29857,73.14431,17000,Vasna,"Reserved Parking,Security,Park",17000
396,3,3,1850,Very Good,390007,22.29857,73.14431,15000,Vasna,"Security,Garden",15000
397,3,3,1500,Good,390007,22.29857,73.14431,18000,Vasna,"Reserved Parking,Security,Park",18000
398,3,4,2500,Good,390023,22.31806,73.17823,40000,Alkapuri,"Security,Garden",40000
399,3,3,1500,Very Good,390007,22.29857,73.14431,16000,Vasna,Reserved Parking,16000
400,2,3,1100,Good,390020,22.29399,73.17611,8000,Akota,Reserved Parking,8000
401,1,1,1000,Good,390007,22.29857,73.14431,6500,Vasna,"Security,Garden",6500
402,3,3,1200,Very Good,390007,22.29857,73.14431,15000,Vasna,"Reserved Parking,Security,Park",15000
403,4,3,2152,Good,390007,22.29857,73.14431,15000,Vasna,"Security,Garden",15000
404,3,3,1100,Very Good,390020,22.29399,73.17611,17000,Akota,"Reserved Parking,Security,Park",17000
405,3,3,1400,Good,390007,22.29857,73.14431,15000,Vasna,"Security,Garden",15000
406,2,1,1000,Good,390012,22.30212,73.17474,11000,Old Padra ,Reserved Parking,11000
407,3,3,1500,Very Good,390007,22.29857,73.14431,12000,Vasna,"Security,Garden",12000
408,3,3,2000,Good,390023,22.31806,73.17823,28000,Alkapuri,"Reserved Parking,Security,Park",28000
409,3,3,1590,Very Good,390007,22.29857,73.14431,25000,Vasna,"Security,Garden",25000
410,4,5,4000,Good,390007,22.29857,73.14431,75000,Vasna,"reserved Parking,Park,Lift",75000
411,3,3,1100,Good,390007,22.29857,73.14431,15000,Vasna,Reserved Parking,15000
412,3,3,1900,Good,390007,22.29857,73.14431,14000,Vasna,"Reserved Parking,Security,Park",14000
413,4,3,1500,Good,390007,22.29857,73.14431,15000,Vasna,"Security,Garden",15000
414,3,3,1800,Very Good,390007,22.29857,73.14431,15000,Vasna,"Reserved Parking,Security,Park",15000
415,3,3,2000,Good,390020,22.29399,73.17611,40000,Akota,"Security,Garden",40000
416,2,2,1250,Good,390007,22.29857,73.14431,10000,Vasna,Reserved Parking,10000
417,3,3,3000,Good,390020,22.29399,73.17611,17000,Akota,"Security,Garden",17000
418,4,3,2100,Good,390007,22.29857,73.14431,22000,Vasna,Reserved Parking,22000
